id,network_code,station_code,location_code,channels,latitude,longitude,elevation
NC.C036.01,NC,C036,01,"HNE,HNN,HNZ",37.380238,-121.793114,329.0
NC.C049.01,NC,C049,01,"HNE,HNN,HNZ",37.7766,-122.278458,9.0
NC.C057.01,NC,C057,01,"HNE,HNN,HNZ",37.95554,-121.697876,24.0
NC.C062.01,NC,C062,01,"HNE,HNN,HNZ",37.66753,-121.903427,86.0
NC.CAI.,NC,CAI,,EHZ,37.861324,-122.430031,187.0
NC.CBK.,NC,CBK,,EHZ,37.875999,-122.248001,276.0
NC.CHR.,NC,CHR,,"EHZ,HNE,HNN,HNZ",37.372883,-121.768867,489.0
NC.CMOB.,NC,CMOB,,"EHZ,HNE,HNN,HNZ",37.810417,-121.802719,743.0
NC.CPI.,NC,CPI,,"EHZ,HNE,HNN,HNZ",37.988903,-122.215607,203.0
NC.CRP.,NC,CRP,,EHZ,37.912663,-121.906494,303.0
NC.CSR.01,NC,CSR,01,"EHZ,HNE,HNN,HNZ",37.78651,-121.93084,233.0
NC.CSU1.,NC,CSU1,,"HN1,HN2,HN3",37.643032,-121.940201,375.0
NC.CSV.,NC,CSV,,EHZ,37.865318,-122.006279,199.0
NC.CYD.,NC,CYD,,"HNE,HNN,HNZ",37.562767,-122.09655,9.0
NC.G007.01,NC,G007,01,"HNE,HNN,HNZ",39.02153,-123.680847,92.0
NC.GCVB.,NC,GCVB,,"EHZ,HNE,HNN,HNZ",38.769268,-123.01487,151.0
NC.GDC.,NC,GDC,,EHZ,38.76778,-123.239555,736.0
BK.AONC.00,BK,AONC,00,"BHE,BHN,BHZ,HHE,HHN,HHZ,HNE,HNN,HNZ",39.93981,-122.0608,70.0
BK.BIGV.00,BK,BIGV,00,"BHE,BHN,BHZ,HHE,HHN,HHZ,HNE,HNN,HNZ",41.09439,-121.22769,1487.3
BK.BUCI.00,BK,BUCI,00,"BHE,BHN,BHZ,HHE,HHN,HHZ,HNE,HNN,HNZ",38.13688,-122.57818,181.2
BK.ADAM.S0,BK,ADAM,S0,"HNE,HNN,HNZ",38.75142,-122.33414,627.3
BK.BJES.00,BK,BJES,00,"BHE,BHN,BHZ,HHE,HHN,HHZ,HNE,HNN,HNZ",40.54362,-123.87996,1050.7
BK.BAKR.00,BK,BAKR,00,"BHE,BHN,BHZ,HHE,HHN,HHZ,HNE,HNN,HNZ",40.280351,-122.492261,191.2
BK.BKS.,BK,BKS,,"BH1,BH2,BH3,BHE,BHN,BHZ,BLE,BLN,BLZ,HHE,HHN,HHZ,HLE,HLN,HLZ",37.876221,-122.23558,243.9
BK.BLAS.00,BK,BLAS,00,"BHE,BHN,BHZ,HHE,HHN,HHZ,HNE,HNN,HNZ",40.3227,-123.53248,1679.3
BK.BRK.00,BK,BRK,00,"BHE,BHN,BHZ,HHE,HHN,HHZ,HNE,HNN,HNZ",37.87352,-122.260986,49.4
BK.BUCI.S0,BK,BUCI,S0,"HNE,HNN,HNZ",38.13688,-122.57818,181.2
BK.BAYL.00,BK,BAYL,00,"BHE,BHN,BHZ,HHE,HHN,HHZ,HNE,HNN,HNZ",39.60519,-122.05753,37.3
BK.BOYR.00,BK,BOYR,00,"BHE,BHN,BHZ,HHE,HHN,HHZ,HNE,HNN,HNZ",38.98509,-121.79609,11.8
BK.BOYR.S0,BK,BOYR,S0,"HNE,HNN,HNZ",38.98509,-121.79609,11.8
BK.EAGL.00,BK,EAGL,00,"BHE,BHN,BHZ,HHE,HHN,HHZ,HNE,HNN,HNZ",40.62486,-120.72893,1564.7
BK.GASB.,BK,GASB,,"BHE,BHN,BHZ,BLE,BLN,BLZ,HHE,HHN,HHZ,HLE,HLN,HLZ",39.654709,-122.71595,1354.8
BK.GCKB.00,BK,GCKB,00,"BHE,BHN,BHZ,HHE,HHN,HHZ,HNE,HNN,HNZ",39.54462,-122.43671,249.1
BK.HAPY.00,BK,HAPY,00,"BHE,BHN,BHZ,HHE,HHN,HHZ,HNE,HNN,HNZ",41.417678,-121.110674,1854.2
BK.JAS.,BK,JAS,,BHZ,37.946629,-120.439331,428.1
BK.JEWT.00,BK,JEWT,00,"BHE,BHN,BHZ,HHE,HHN,HHZ,HNE,HNN,HNZ",40.063044,-123.628171,694.1
BK.LLNL.00,BK,LLNL,00,"BHE,BHN,BHZ,HHE,HHN,HHZ,HNE,HNN,HNZ",37.68188,-121.71675,185.0
BK.CVS.00,BK,CVS,00,"BHE,BHN,BHZ,HHE,HHN,HHZ,HNE,HNN,HNZ",38.345261,-122.458397,295.1
BK.GRPK.00,BK,GRPK,00,"BHE,BHN,BHZ,HHE,HHN,HHZ,HNE,HNN,HNZ",41.12162,-121.99428,1497.2
